sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;servicio;tienda;aranjuez;1;10.0;27/03/2017;6000000;agropecuaria
masculino;servicio;comidas rapidas;santo domingo savio;1;13.0;14/08/2018;4000000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;9/03/2018;6000000;agropecuaria
femenino;industria;publicidad y;el socorro;2;9.0;11/07/2016;7812000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;2/08/2018;6000000;agropecuaria
masculino;servicio;variedades;cabecera san cristobal;1;1.0;22/02/2018;5000000;agropecuaria
masculino;comercio;peluqueria;doce de octubre no.1;3;5.0;14/03/2017;6890000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;24/10/2017;7800000;agropecuaria
masculino;servicio;variedades;cabecera san cristobal;1;1.0;30/06/2017;5000000;agropecuaria
masculino;servicio;comidas rapidas;santa cruz;1;13.0;18/09/2017;4000000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;4.0;29/08/2018;7800000;agropecuaria
femenino;agropecuaria;venta de pollos;rosales;2;70.0;2017/06/8;241315;microempresarial
masculino;servicio;fabrica de;robledo;1;4.0;26/10/2018;7800000;agropecuaria
femenino;comercio;barberia;20 de julio;3;3.0;11/02/2019;2000000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;7.0;7/02/2018;7000000;agropecuaria
masculino;servicio;variedades;manrique central no. 2;1;13.0;3/05/2018;4000000;agropecuaria
masculino;servicio;comidas rapidas;cabecera san antonio;3;8.0;13/01/2017;3000000;agropecuaria
femenino;industria;fabrica de helados;lopez de mesa;2;9.0;22/05/2017;5500000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;25/04/2018;7800000;agropecuaria
masculino;servicio;variedades;cabecera san cristobal;1;1.0;27/07/2018;5000000;agropecuaria
masculino;servicio;tienda;buenos aires;1;7.0;3/07/2018;6000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;3/10/2018;7800000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;26/10/2018;7800000;agropecuaria
femenino;industria;granero;san jose de la cima no.;2;80.0;29/01/2019;7200000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;28/02/2018;6000000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;4.0;23/03/2018;7000000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;20/09/2018;6000000;agropecuaria
femenino;comercio;mantenimiento en;guayabal;3;2.0;9/08/2018;7377000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;8/05/2018;6000000;agropecuaria
femenino;industria;lavanderia;palermo;2;12.0;1/02/2016;4200000;agropecuaria
femenino;industria;legumbreria;villa del socorro;2;16.0;3/08/2016;2500000;agropecuaria
masculino;servicio;variedades;manrique central no. 2;1;13.0;13/10/2017;4000000;agropecuaria
femenino;comercio;distribuidora de;pedregal;3;3.0;23/08/2016;2000000;agropecuaria
femenino;industria;fabrica de alimentos;santander;3;6.0;4/01/2019;1000000;agropecuaria
masculino;comercio;peluqueria;moravia;3;2.0;11/07/2017;7300000;agropecuaria
masculino;comercio;almacen de ropa en;barrio caicedo;3;5.0;23/08/2018;6890000;agropecuaria
masculino;servicio;tienda;buenos aires;1;10.0;9/03/2017;6000000;agropecuaria
masculino;servicio;fabrica de;san javier no.1;1;7.0;26/07/2017;7000000;agropecuaria
masculino;servicio;tienda;belen;1;7.0;10/04/2018;7000000;agropecuaria
femenino;industria;ebanistaria;cristo rey;2;12.0;6/04/2016;782000;agropecuaria
masculino;servicio;tienda;belen;1;7.0;2/03/2018;7000000;agropecuaria
masculino;servicio;comidas rapidas;manrique central no. 2;1;13.0;25/04/2017;4000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;14/09/2018;7800000;agropecuaria
femenino;comercio;distribuidora de;pedregal;3;3.0;7/12/2017;2000000;agropecuaria
femenino;industria;fabrica de calzado;florencia;3;6.0;14/09/2017;6800000;agropecuaria
masculino;servicio;comidas rapidas;cabecera san antonio;3;8.0;30/08/2017;3000000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;4.0;22/06/2018;7800000;agropecuaria
femenino;comercio;barberia;20 de julio;3;3.0;18/03/2019;7370000;agropecuaria
femenino;comercio;barberia;villatina;3;3.0;4/08/2016;7370000;agropecuaria
femenino;industria;carpinteria;13 de noviembre;2;9.0;6/02/2019;8281000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;4.0;27/06/2018;7800000;agropecuaria
masculino;servicio;comidas rapidas;santo domingo savio;1;13.0;5/04/2018;3000000;agropecuaria
masculino;comercio;peluqueria;doce de octubre no.1;3;5.0;18/11/2016;7300000;agropecuaria
masculino;servicio;variedades;castilla;1;1.0;17/07/2018;5000000;agropecuaria
masculino;servicio;tienda;belen;1;7.0;2/03/2018;7000000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;4.0;4/05/2018;7000000;agropecuaria
femenino;comercio;barberia;la floresta;3;3.0;13/12/2018;2000000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;4.0;7/12/2016;7800000;agropecuaria
femenino;industria;carniceria;los mangos;2;12.0;2018/10/25;4700000;agropecuaria
femenino;industria;productos de belleza;la francia;2;16.0;22/11/2017;1500000;agropecuaria
masculino;servicio;variedades;cabecera san cristobal;1;1.0;21/05/2018;5000000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;12/02/2018;6000000;agropecuaria
masculino;servicio;tienda;popular;1;10.0;13/07/2018;6000000;agropecuaria
masculino;servicio;tienda;popular;1;10.0;25/01/2018;6000000;agropecuaria
masculino;comercio;peluqueria;moravia;3;2.0;20/10/2017;7300000;agropecuaria
femenino;industria;publicidad y;blanquizal;2;9.0;19/04/2016;7812000;agropecuaria
femenino;industria;fabrica de alimentos;santander;3;6.0;4/01/2019;1000000;agropecuaria
femenino;industria;recreativo educativo;alfonso lopez;2;16.0;14/08/2017;4500000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;2/02/2018;6000000;agropecuaria
masculino;comercio;peluqueria;doce de octubre no.1;3;5.0;22/06/2017;6890000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;27/03/2017;6000000;agropecuaria
masculino;servicio;tienda;cabecera san cristobal;1;1.0;11/10/2016;5000000;agropecuaria
masculino;comercio;peluqueria;manrique oriental;3;5.0;1/08/2017;6890000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;20/03/2018;6000000;agropecuaria
femenino;industria;servicios;pedregal alto;2;15.0;2018/10/24;14754000;empresarial ed.
masculino;servicio;fabrica de;robledo;1;4.0;4/04/2018;7800000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;6/02/2018;7800000;agropecuaria
femenino;industria;fotografia;belalcazar;2;9.0;15/08/2018;1200000;agropecuaria
femenino;comercio;papeleria;aranjuezcito;3;3.0;5/10/2017;2000000;agropecuaria
femenino;comercio;papeleria;aranjuezcito;3;3.0;4/10/2016;2000000;agropecuaria
masculino;servicio;tienda;belen;1;7.0;22/03/2018;7000000;agropecuaria
femenino;comercio;mantenimiento en;andalucia;3;2.0;20/04/2017;7377000;agropecuaria
femenino;industria;carniceria;los mangos;2;12.0;12/10/2018;4700000;agropecuaria
femenino;industria;ferreteria;kennedy;2;60.0;1/12/2017;7500000;agropecuaria
masculino;comercio;almacen de ropa en;barrio caicedo;3;5.0;1/09/2017;6890000;agropecuaria
femenino;industria;criadero de animales;villa del socorro;2;60.0;16/08/2017;8000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;3/10/2018;7800000;agropecuaria
femenino;industria;legumbreria;las palmas;2;16.0;10/08/2017;2500000;agropecuaria
masculino;servicio;variedades;cabecera san cristobal;1;1.0;22/02/2018;5000000;agropecuaria
femenino;industria;productos de belleza;san pablo;2;16.0;14/12/2018;1500000;agropecuaria
femenino;industria;cafeteria;juan xxiii la quiebra;2;16.0;27/01/2017;1500000;agropecuaria
masculino;servicio;comidas rapidas;cabecera san antonio;3;8.0;13/01/2017;3000000;agropecuaria
femenino;industria;taller de mecanica;olaya herrera;2;60.0;16/05/2019;6500000;agropecuaria
masculino;servicio;comidas rapidas;santa cruz;1;13.0;21/06/2017;4000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;6/06/2017;7800000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;7.0;1/02/2018;7000000;agropecuaria
femenino;industria;cerrajeria;la esperanza;2;80.0;5/02/2019;6900000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;25/05/2018;7800000;agropecuaria
masculino;comercio;almacen de ropa en;barrio caicedo;3;8.0;8/03/2017;6890000;agropecuaria
masculino;comercio;peluqueria;moravia;3;2.0;27/07/2016;7300000;agropecuaria
masculino;servicio;almacen de ropa en;campo valdes no. 1;3;8.0;4/09/2017;3000000;agropecuaria
masculino;comercio;almacen de ropa en;manrique oriental;3;5.0;16/05/2017;6890000;agropecuaria
femenino;comercio;mantenimiento en;guayabal;3;2.0;1/03/2017;7377000;agropecuaria
femenino;industria;productos de belleza;san pablo;2;16.0;5/04/2019;1500000;agropecuaria
femenino;comercio;papeleria;la floresta;3;3.0;8/04/2019;2000000;agropecuaria
femenino;industria;fabrica de arepas;la colina;2;12.0;14/04/2016;5800000;agropecuaria
masculino;comercio;almacen de ropa en;barrio caicedo;3;8.0;19/01/2017;6890000;agropecuaria
masculino;comercio;peluqueria;la milagrosa;3;5.0;17/04/2017;7300000;agropecuaria
masculino;servicio;variedades;enciso;1;1.0;15/11/2017;5000000;agropecuaria
masculino;servicio;fabrica de;manrique central no. 1;1;7.0;16/07/2018;7000000;agropecuaria
masculino;servicio;variedades;cabecera san cristobal;1;1.0;27/07/2018;5000000;agropecuaria
femenino;comercio;papeleria;la floresta;3;3.0;21/08/2018;2000000;agropecuaria
masculino;servicio;tienda;buenos aires;1;10.0;9/03/2017;6000000;agropecuaria
femenino;industria;charcuteria;francisco antonio zea;2;60.0;18/07/2016;8200000;agropecuaria
masculino;servicio;variedades;castilla;1;1.0;5/10/2016;5000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;24/09/2018;7800000;agropecuaria
femenino;industria;fabrica de muebles;versalles no. 1;2;12.0;31/10/2016;7377170;agropecuaria
femenino;industria;lavanderia;palermo;2;12.0;29/11/2018;17000000;agropecuaria
masculino;comercio;peluqueria;manrique oriental;3;5.0;15/05/2018;6890000;agropecuaria
masculino;servicio;variedades;castilla;1;1.0;20/06/2018;5000000;agropecuaria
femenino;industria;productos de belleza;la francia;2;16.0;15/02/2016;1500000;agropecuaria
femenino;comercio;papeleria;la floresta;3;3.0;16/06/2017;2000000;agropecuaria
masculino;servicio;tienda;popular;1;10.0;3/02/2017;6000000;agropecuaria
femenino;industria;charcuteria;loreto;2;60.0;22/04/2016;8200000;agropecuaria
masculino;servicio;tienda;aranjuez;1;10.0;20/03/2018;6000000;agropecuaria
femenino;comercio;distribuidora de;pedregal;3;3.0;23/08/2016;2000000;agropecuaria
masculino;servicio;fabrica de;san javier no.1;1;7.0;29/05/2018;7000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;24/10/2018;7800000;agropecuaria
femenino;comercio;barberia;villatina;3;3.0;12/10/2016;7370000;agropecuaria
femenino;industria;cafe e internet;centro admtivo;2;6.0;1/12/2016;3500000;agropecuaria
masculino;servicio;variedades;enciso;1;1.0;19/04/2017;5000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;3/10/2018;7800000;agropecuaria
masculino;servicio;tienda;buenos aires;1;7.0;30/10/2018;6000000;agropecuaria
masculino;comercio;almacen de ropa en;barrio caicedo;3;5.0;26/11/2018;6890000;agropecuaria
masculino;servicio;comidas rapidas;manrique central no. 2;1;13.0;7/11/2018;4000000;agropecuaria
masculino;servicio;variedades;enciso;1;1.0;26/01/2018;5000000;agropecuaria
masculino;servicio;variedades;enciso;1;1.0;18/05/2018;5000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;25/04/2018;7800000;agropecuaria
femenino;industria;ferreteria;la pradera;2;60.0;20/05/2019;7500000;agropecuaria
masculino;servicio;tienda;cabecera san cristobal;1;1.0;11/10/2016;5000000;agropecuaria
masculino;servicio;comidas rapidas;manrique central no. 2;1;13.0;25/04/2017;4000000;agropecuaria
femenino;comercio;restaurante;villa hermosa;3;2.0;7/09/2017;7300000;agropecuaria
masculino;servicio;variedades;enciso;1;13.0;6/10/2017;4000000;agropecuaria
femenino;comercio;mantenimiento en;guayabal;3;2.0;1/03/2017;7377000;agropecuaria
femenino;comercio;barberia;la floresta;3;3.0;13/12/2018;2000000;agropecuaria
masculino;servicio;variedades;enciso;1;13.0;9/11/2017;4000000;agropecuaria
masculino;servicio;variedades;castilla;1;1.0;12/06/2018;5000000;agropecuaria
masculino;servicio;comidas rapidas;cabecera san antonio;3;8.0;13/01/2017;3000000;agropecuaria
masculino;servicio;variedades;cabecera san cristobal;1;1.0;20/02/2018;5000000;agropecuaria
masculino;comercio;peluqueria;manrique oriental;3;5.0;12/05/2017;6890000;agropecuaria
femenino;comercio;distribuidora de;pedregal;3;3.0;8/06/2016;2000000;agropecuaria
masculino;servicio;comidas rapidas;campo valdes no. 1;3;8.0;14/02/2017;3000000;agropecuaria
masculino;comercio;almacen de ropa en;manrique oriental;3;5.0;21/02/2017;6890000;agropecuaria
femenino;industria;legumbreria;trinidad;2;16.0;31/03/2017;2500000;agropecuaria
femenino;comercio;distribuidora de;andalucia;3;3.0;26/05/2017;7377000;agropecuaria
masculino;comercio;peluqueria;doce de octubre no.1;3;5.0;21/04/2017;7300000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;14/03/2018;7800000;agropecuaria
masculino;servicio;variedades;enciso;1;13.0;9/11/2017;4000000;agropecuaria
masculino;servicio;variedades;manrique central no. 2;1;13.0;27/02/2018;4000000;agropecuaria
masculino;comercio;peluqueria;doce de octubre no.1;3;5.0;12/09/2017;7300000;agropecuaria
masculino;servicio;fabrica de;san javier no.1;1;7.0;9/04/2018;7000000;agropecuaria
masculino;servicio;fabrica de;robledo;1;4.0;7/11/2017;7800000;agropecuaria
masculino;servicio;comidas rapidas;cabecera san antonio;3;8.0;28/03/2017;3000000;agropecuaria
femenino;industria;productos de belleza;la francia;2;16.0;16/09/2016;1500000;agropecuaria
